index,ppg_in,ppg_filt,valid_pre,peak_pulse,time_counter,interval_valid,bpm_value,bpm_valid
441,-82,-35,1,0,4,0,65,0
442,-128,-35,0,0,5,0,65,0
443,-190,-65,1,0,5,0,65,0
444,-244,-65,0,0,6,0,65,0
445,-298,-104,1,0,6,0,65,0
446,-322,-104,0,0,7,0,65,0
447,-330,-143,1,0,7,0,65,0
448,-417,-143,0,0,8,0,65,0
449,-345,-165,1,0,8,0,65,0
450,-356,-165,0,0,9,0,65,0
451,-256,-148,1,0,9,0,65,0
452,-196,-148,0,0,10,0,65,0
453,-176,-99,1,0,10,0,65,0
454,-100,-99,0,0,11,0,65,0
455,-104,-61,1,0,11,0,65,0
456,-54,-61,0,0,12,0,65,0
457,-71,-39,1,0,12,0,65,0
458,-83,-39,0,0,13,0,65,0
459,-24,-32,1,0,13,0,65,0
460,-37,-32,0,0,14,0,65,0
461,2,-5,1,0,14,0,65,0
462,-4,-5,0,0,15,0,65,0
463,32,25,1,0,15,0,65,0
464,129,25,0,0,16,0,65,0
465,122,55,1,0,16,0,65,0
466,160,55,0,0,17,0,65,0
467,224,68,1,0,17,0,65,0
468,258,68,0,0,18,0,65,0
469,291,97,1,0,18,0,65,0
470,262,97,0,0,19,0,65,0
471,190,124,1,0,19,0,65,0
472,248,124,0,0,20,0,65,0
473,146,111,1,0,20,0,65,0
474,29,111,0,1,21,0,65,0
475,-54,64,1,0,21,0,65,0
476,16,64,0,0,21,1,65,0
477,-11,5,1,0,21,1,71,1
478,1,-39,1,0,0,0,71,1
479,-24,-59,1,0,0,0,71,0
480,-32,-59,0,0,0,0,71,0
481,-6,-78,1,0,0,0,71,0
482,-65,-78,0,0,0,0,71,0
483,-53,-78,1,0,0,0,71,0
484,-129,-78,0,0,0,0,71,0
485,-192,-72,1,0,0,0,71,0
486,-241,-72,0,0,0,0,71,0
487,-234,-90,1,0,0,0,71,0
488,-294,-90,0,0,0,0,71,0
489,-306,-95,1,0,0,0,71,0
490,-285,-95,0,0,0,0,71,0
491,-261,-100,1,0,0,0,71,0
492,-285,-100,0,0,0,0,71,0
493,-202,-92,1,0,0,0,71,0
494,-137,-92,0,0,0,0,71,0
495,-100,-55,1,0,0,0,71,0
496,-70,-55,0,0,0,0,71,0
497,-54,-19,1,0,0,0,71,0
498,18,-19,0,0,0,0,71,0
499,21,8,1,0,0,0,71,0
